
   DEPT[M]  ROLL_(ATV)  TILT_(ATV)  AZIMUTH_(A
     18.6869     237.000     38.7667     359.000
     18.6969     236.900     38.8333     359.000
     18.7069     236.800     38.9000     359.000
     18.7169     236.600     38.7000     358.950
     18.7269     236.400     38.5000     358.900
     18.7369     235.767     38.5667     358.800
     18.7469     235.133     38.6333     358.700
     18.7569     234.500     38.7000     358.600
     18.7669     234.000     38.7000     358.533
     18.7769     233.500     38.7000     358.467
     18.7869     233.000     38.7000     358.400
     18.7969     232.750     38.6000     358.450
     18.8069     232.500     38.5000     358.500
     18.8169     232.700     38.5000     358.667
     18.8269     232.900     38.5000     358.833
     18.8369     233.100     38.5000     359.000
     18.8469     233.400     38.4667     358.867
     18.8569     233.700     38.4333     358.733
     18.8669     234.000     38.4000     358.600
     18.8769     234.400     38.5000     358.650
     18.8869     234.800     38.6000     358.700
     18.8969     234.967     38.6667     358.867
     18.9069     235.133     38.7333     359.033
     18.9169     235.300     38.8000     359.200
     18.9269     235.267     38.7000     359.067
     18.9369     235.233     38.6000     358.933
     18.9469     235.200     38.5000     358.800
     18.9569     235.200     38.5500     358.900
     18.9669     235.200     38.6000     359.000
     18.9769     235.067     38.7000     359.100
     18.9869     234.933     38.8000     359.200
     18.9969     234.800     38.9000     359.300
     19.0069     234.400     38.7500     359.000
     19.0169     234.000     38.6000     358.700
     19.0269     233.667     38.5667     358.433
     19.0369     233.333     38.5333     358.167
     19.0469     233.000     38.5000     357.900
     19.0569     233.100     38.5000     357.967
     19.0669     233.200     38.5000     358.033
     19.0769     233.300     38.5000     358.100
     19.0869     234.500     38.4500     358.700
     19.0969     235.700     38.4000     359.300
     19.1069     236.450     38.5000     359.350
     19.1169     237.200     38.6000     359.400
     19.1269     237.700     38.6333     359.233
     19.1369     238.200     38.6667     359.067
     19.1469     238.700     38.7000     358.900
     19.1569     239.233     38.7000     358.900
     19.1669     239.767     38.7000     358.900
     19.1769     240.300     38.7000     358.900
     19.1869     240.900     38.9500     359.050
     19.1969     241.500     39.2000     359.200
     19.2069     241.167     39.0000     359.033
     19.2169     240.833     38.8000     358.867
     19.2269     240.500     38.6000     358.700
     19.2369     239.700     38.8000     358.650
     19.2469     238.900     39.0000     358.600
     19.2569     239.467     39.0667     358.733
     19.2669     240.033     39.1333     358.867
     19.2769     240.600     39.2000     359.000
     19.2869     240.967     39.0333     358.933
     19.2969     241.333     38.8667     358.867
     19.3069     241.700     38.7000     358.800
     19.3169     241.533     38.8000     359.133
     19.3269     241.367     38.9000     359.467
     19.3369     241.200     39.0000     359.800
     19.3469     241.000     38.7000     359.600
     19.3569     240.800     38.4000     359.400
     19.3669     240.500     38.4667     359.233
     19.3769     240.200     38.5333     359.067
     19.3869     239.900     38.6000     358.900
     19.3969     239.233     38.9667     358.867
     19.4069     238.567     39.3333     358.833
     19.4169     237.900     39.7000     358.800
     19.4269     237.950     39.3500     359.000
     19.4369     238.000     39.0000     359.200
     19.4469     237.933     38.8000     359.333
     19.4569     237.867     38.6000     359.467
     19.4669     237.800     38.4000     359.600
     19.4769     237.633     38.6667     359.600
     19.4869     237.467     38.9333     359.600
     19.4969     237.300     39.2000     359.600
     19.5069     237.900     39.0500     359.400
     19.5169     238.500     38.9000     359.200
     19.5269     238.967     38.8667     359.267
     19.5369     239.433     38.8333     359.333
